nombre,login,password
Juan Pérez,juanperez,12345,15/03/1998
María Gómez,mariagomez,12346,22/07/1995
Luis Torres,luistorres,12347,30/11/1999
Ana Martínez,anamartinez,12348,12/01/2000
Carlos Ramírez,carlosramirez,12349,05/06/1997
Laura Herrera,lauraherrera,12350,09/09/1996
Pedro Sánchez,pedrosanchez,12351,17/04/1998
Sofía López,sofialopez,12352,28/02/1995
Diego Castillo,diegocastillo,12353,10/10/2001
Valentina Ríos,valentinar,12354,25/12/1999
Julián Morales,julianm,12355,08/05/2002
Camila Vargas,camivargas,12356,01/08/1996
Mateo Paredes,mateop,12357,13/03/2000
Isabella Mendoza,isamendoza,12358,06/06/1998
Andrés Cárdenas,andrescardenas,12359,21/11/1997
Daniela Silva,danielasilva,12360,02/02/1999
Tomás Fuentes,tomasf,12361,19/07/2001
Renata Díaz,renatad,12362,14/09/2000
Santiago Navarro,santinav,12363,11/01/1998
Lucía Cabrera,luciacabrera,12364,03/04/1995nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
Juliana,juli123,1234,1990-12-12
Fiona,fiona123,1234,1999-04-04
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
Juliana,juli123,1234,1990-12-12
Fiona,fiona123,1234,1999-04-04
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
Juliana,juli123,1234,1990-12-12
Fiona,fiona123,1234,1999-04-04
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
nombre,loginTest,123456,01/01/2000
Juliana,juli123,1234,1990-12-12
Fiona,fiona123,1234,1999-04-04
juliana vera,jvera,123,26/01/2007



